,Title,Year,Rated,Runtime,Genre,imdbRating,imdbVotes,BoxOffice
131,Vertigo,1958,PG,128 min,"Mystery, Romance, Thriller",8.3,"402,208","$7,705,225"
132,Pather Panchali,1955,Not Rated,125 min,Drama,8.3,"33,358","$134,241"
133,Singin' in the Rain,1952,G,103 min,"Comedy, Musical, Romance",8.3,"242,677","$1,884,537"
134,Ikiru,1952,Not Rated,143 min,Drama,8.3,"78,896","$60,239"
135,Bicycle Thieves,1948,Not Rated,89 min,Drama,8.3,"164,211","$371,111"
136,Double Indemnity,1944,Passed,107 min,"Crime, Drama, Film-Noir",8.3,"157,839",N/A
137,Citizen Kane,1941,PG,119 min,"Drama, Mystery",8.3,"442,347","$1,627,530"
138,M,1931,Passed,99 min,"Crime, Mystery, Thriller",8.3,"158,197","$35,566"
139,Metropolis,1927,Not Rated,153 min,"Drama, Sci-Fi",8.3,"174,823","$1,236,166"
140,The Kid,1921,Passed,68 min,"Comedy, Drama, Family",8.3,"126,713",N/A
141,1917,2019,R,119 min,"Action, Drama, War",8.2,"585,036","$159,227,644"
142,Uri: The Surgical Strike,2019,Not Rated,138 min,"Action, Drama, History",8.2,"64,373","$4,186,168"
143,Tumbbad,2018,Not Rated,104 min,"Drama, Fantasy, Horror",8.2,"49,215",N/A
144,Andhadhun,2018,Not Rated,139 min,"Comedy, Crime, Music",8.2,"93,616","$1,193,046"
145,K.G.F: Chapter 1,2018,Not Rated,156 min,"Action, Crime, Drama",8.2,"86,189",N/A
146,Green Book,2018,PG-13,130 min,"Biography, Comedy, Drama",8.2,"489,069","$85,080,171"
147,Baahubali 2: The Conclusion,2017,Not Rated,167 min,"Action, Drama",8.2,"101,884","$20,186,659"
148,Drishyam,2015,Not Rated,163 min,"Crime, Drama, Mystery",8.2,"82,374",N/A
149,Bhaag Milkha Bhaag,2013,Not Rated,186 min,"Biography, Drama, Sport",8.2,"68,422","$1,636,731"
150,Inside Out,2015,PG,95 min,"Animation, Adventure, Comedy",8.2,"711,574","$356,921,711"
151,Gangs of Wasseypur,2012,Not Rated,321 min,"Action, Comedy, Crime",8.2,"96,677",N/A
